datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,ANTONIO CARLOS,Mata Atlantica,22,0,1,-21.434,-43.787,11.7
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,PARAGUACU,Mata Atlantica,13,0,1,-21.487,-45.749,6.1
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEICAO DA APARECIDA,Mata Atlantica,35,0,1,-21.069,-46.156,11.3
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEICAO DA APARECIDA,Mata Atlantica,36,0,1,-21.068,-46.147,11.2
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,CAMPO BELO,Mata Atlantica,38,0,1,-20.964,-45.343,4.6
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,BELMIRO BRAGA,Mata Atlantica,0,0,0.7,-22.013,-43.561,27.8
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,SERRA DO SALITRE,Cerrado,38,0,1,-19.318,-46.645,7.7
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,ESTRELA DO SUL,Cerrado,38,0,0.8,-18.934,-47.683,27.6
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,LASSANCE,Cerrado,37,0,1,-18.007,-44.456,13.6
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,SETUBINHA,Mata Atlantica,37,0.4,0.7,-17.563,-42.194,25.4
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,38,0,1,-17.244,-46.43,7
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,38,0,1,-17.242,-46.42,56.1
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,JAIBA,Cerrado,37,0,1,-15.371,-43.759,14.4
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,MONTEZUMA,Cerrado,37,0,0.9,-15.192,-42.558,29.2
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,MONTEZUMA,Cerrado,37,0,1,-15.189,-42.541,17.8
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,40,0,0.9,-16.654,-46.991,20.4
2020/07/03 16:00:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTA HELENA DE MINAS,Mata Atlantica,28,0,1,-16.882,-40.61,28.8
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,MONTALVANIA,Cerrado,39,0,1,-14.291,-44.272,19.7
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTO ANTONIO DO AMPARO,Mata Atlantica,16,0,1,-21.034,-45.008,4.8
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,IGUATAMA,Cerrado,40,0,1,-20.246,-45.76,10.2
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,IGUATAMA,Cerrado,40,0,1,-20.245,-45.75,6.9
